table id,name,phone number,Location,Emp. Group,Function,Gender ,Tenure,Tenure Grp.,Experience (YY.MM),Marital Status,Age in YY.,Hiring Source,Promoted/Non Promoted,Job Role Match,stay/leave
20,shruti,9876544345,Bangalore,B2,Operation,Male,0.03,< =1,5.1,Single,27.08,Agency,Promoted,Yes,stay
21,shruti,9876544345,Hyderabad,B1,Operation,Male,0.03,< =1,4.03,Single,27.07,Direct,Promoted,No,leave
22,shruti,9876544345,Bangalore,B1,Operation,Female,0.03,< =1,0.03,Single,21.05,Direct,Non Promoted,Yes,stay
23,shruti,9876544345,Mumbai,B1,Operation,Female,0.02,< =1,1.1,Single,24.1,Direct,Non Promoted,Yes,stay
24,shruti,9876544345,Hyderabad,B1,Operation,Male,0.03,< =1,3.03,Single,28.08,Direct,Promoted,Yes,stay
25,shruti,9876544345,Hyderabad,B3,Operation,Male,0.02,< =1,11.02,Marr.,39.06,Direct,Non Promoted,Yes,stay
26,shruti,9876544345,Hyderabad,B1,Operation,Male,0.02,< =1,4.04,Single,29.02,Direct,Promoted,No,leave
27,shruti,9876544345,Bangalore,B2,Operation,Female,0.02,< =1,8.04,Single,30.07,Direct,Promoted,No,stay
28,shruti,9876544345,Bangalore,B2,Operation,Male,0.03,< =1,8.03,Marr.,35.07,Direct,Promoted,No,stay
29,shruti,9876544345,Hyderabad,B1,Operation,Male,0.03,< =1,,NTBD,32.08,Direct,Non Promoted,No,stay
30,shruti,9876544345,Chennai,B1,Operation,Male,0.03,< =1,5.03,Single,27.03,Direct,Promoted,No,leave
31,shruti,9876544345,Chennai,B1,Operation,Female,0.03,< =1,1,Single,23.03,Direct,Promoted,No,leave
32,shruti,9876544345,Chennai,B1,Operation,Female,0.03,< =1,3.11,Marr.,26.05,Direct,Promoted,No,stay
33,shruti,9876544345,Chennai,B2,Operation,Female,0.04,< =1,6.1,Marr.,32.04,Agency,Non Promoted,No,stay
34,shruti,9876544345,Hyderabad,B1,Operation,Female,0.03,< =1,4.03,Single,28.12,Direct,Promoted,No,leave
35,shruti,9876544345,Noida,B2,Operation,Male,0.04,< =1,7.04,Marr.,32.02,Agency,Non Promoted,No,stay
36,shruti,9876544345,Noida,B3,Operation,Male,0.03,< =1,9.07,Marr.,36.04,Direct,Promoted,No,leave
37,shruti,9876544345,Noida,B2,Operation,Male,0.04,< =1,6.1,Single,32.04,Direct,Non Promoted,Yes,leave
38,shruti,9876544345,Bangalore,B1,Operation,Female,0.03,< =1,2.04,Single,26.07,Direct,Non Promoted,Yes,leave
39,shruti,9876544345,Hyderabad,B2,Operation,Male,0.04,< =1,9.04,Marr.,38.07,Agency,Promoted,Yes,stay
40,shruti,9876544345,Hyderabad,B1,Operation,Male,0.03,< =1,2.03,Marr.,30.06,Agency,Promoted,No,stay
41,shruti,9876544345,Bangalore,B3,Operation,Male,0.04,< =1,15.04,Marr.,43,Direct,Promoted,Yes,stay
42,shruti,9876544345,Bangalore,B1,Operation,Male,0.04,< =1,0.04,Single,25.06,Direct,Non Promoted,Yes,stay
43,shruti,9876544345,Bangalore,B1,Operation,Male,0.04,< =1,1.08,Single,26.07,Direct,Promoted,No,leave
44,shruti,9876544345,Chennai,B2,Operation,Male,0.04,< =1,5.04,Single,27.05,Direct,Promoted,No,leave
45,shruti,9876544345,Chennai,B1,Operation,Male,0.04,< =1,3.04,Single,26.03,Direct,Non Promoted,No,leave
46,shruti,9876544345,Noida,B2,Operation,Male,0.04,< =1,10.04,Marr.,37,Employee Referral,Non Promoted,No,stay
47,shruti,9876544345,Bangalore,B1,Operation,Female,0.04,< =1,3.07,Marr.,33.1,Direct,Promoted,No,stay
48,shruti,9876544345,Noida,B1,Operation,Male,0.04,< =1,0.1,Single,23.06,Direct,Non Promoted,No,leave
49,shruti,9876544345,Chennai,B2,Operation,Male,0.04,< =1,12.05,Single,39.08,Direct,Non Promoted,No,leave
50,shruti,9876544345,Nagpur,B1,Support,Female,0.04,< =1,2.01,Single,26.02,Direct,Promoted,Yes,stay
51,shruti,9876544345,Bangalore,B1,Operation,Female,0.04,< =1,1.01,Single,24.02,Direct,Non Promoted,Yes,stay
52,shruti,9876544345,Noida,B1,Operation,Male,0.04,< =1,1.06,Single,25.04,Agency,Non Promoted,Yes,stay
53,shruti,9876544345,Noida,B1,Operation,Male,0.05,< =1,1.02,Single,23.08,Agency,Non Promoted,Yes,stay
54,shruti,9876544345,Bangalore,B1,Operation,Female,0.04,< =1,0.04,Single,22.03,Direct,Non Promoted,Yes,stay
55,shruti,9876544345,Noida,B3,Operation,Male,0.05,< =1,6.05,Marr.,36.07,Direct,Promoted,Yes,stay
56,shruti,9876544345,Chennai,B1,Operation,Male,0.05,< =1,2.11,Single,25.01,Direct,Non Promoted,Yes,stay
57,shruti,9876544345,Noida,B3,Operation,Male,0.05,< =1,12.05,Marr.,37.07,Agency,Promoted,No,stay
58,shruti,9876544345,Chennai,B1,Operation,Male,0.05,< =1,3.05,Single,24.04,Direct,Non Promoted,No,leave
59,shruti,9876544345,Chennai,B1,Operation,Male,0.05,< =1,4.09,Marr.,30.04,Direct,Promoted,No,stay
60,shruti,9876544345,Madurai,B2,Operation,Male,0.05,< =1,12.05,Marr.,40.07,Direct,Non Promoted,No,stay
61,shruti,9876544345,Pune,B1,Operation,Female,0.05,< =1,4.06,Single,27.07,Direct,Promoted,No,leave
62,shruti,9876544345,Bangalore,B1,Operation,Male,0.05,< =1,1.03,Single,23.11,Direct,Promoted,No,leave
63,shruti,9876544345,Pune,B2,Operation,Female,0.06,< =1,8.06,Marr.,31.02,Direct,Promoted,No,stay
64,shruti,9876544345,Noida,B3,Operation,Male,0.06,< =1,6.06,Single,30.03,Direct,Non Promoted,Yes,stay
65,shruti,9876544345,Pune,B1,Operation,Female,0.05,< =1,3.04,Single,28.06,Direct,Non Promoted,Yes,stay
66,shruti,9876544345,Noida,B1,Operation,Male,0.06,< =1,1.07,Single,24.03,Direct,Promoted,No,leave
67,shruti,9876544345,Chennai,B3,Operation,Male,0.06,< =1,17.06,Marr.,41.04,Direct,Promoted,No,stay
68,shruti,9876544345,Bangalore,B2,Operation,other,0.06,< =1,6.06,Single,29.05,Agency,Promoted,Yes,stay
69,shruti,9876544345,Chennai,B1,Operation,Female,0.06,< =1,3.1,Single,25.04,Direct,Promoted,Yes,stay
70,shruti,9876544345,Chennai,B1,Operation,Female,0.05,< =1,1.05,Single,23.1,Direct,Promoted,Yes,stay
71,shruti,9876544345,Pune,B2,Operation,Male,0.05,< =1,5,Marr.,28.01,Direct,Promoted,No,leave
72,shruti,9876544345,Chennai,B2,Operation,Female,0.06,< =1,6.03,Marr.,28.08,Direct,Non Promoted,Yes,stay
73,shruti,9876544345,Nagpur,B1,Support,Male,0.06,< =1,2.11,Single,27.06,Direct,Promoted,No,leave
74,shruti,9876544345,Hyderabad,B3,Operation,Male,0.06,< =1,8.06,Marr.,33.03,Agency,Non Promoted,Yes,stay
75,shruti,9876544345,Bangalore,B2,Operation,Male,0.06,< =1,6.1,Single,29.1,Agency,Promoted,No,stay
76,shruti,9876544345,Noida,B2,Operation,Female,0.06,< =1,5.11,Single,27.02,Agency,Promoted,No,leave
77,shruti,9876544345,Bangalore,B5,Sales,Male,0.06,< =1,15.06,Marr.,36.02,Direct,Promoted,No,stay
78,shruti,9876544345,Pune,B2,Operation,Male,0.06,< =1,5.03,Single,26.07,Direct,Non Promoted,Yes,leave
79,shruti,9876544345,Bangalore,B1,Operation,Female,0.06,< =1,10.06,Marr.,33,Direct,Non Promoted,Yes,stay
80,shruti,9876544345,Pune,B1,Operation,Male,0.06,< =1,6.07,Single,28.06,Direct,Non Promoted,Yes,stay
81,shruti,9876544345,Pune,B2,Operation,Male,0.06,< =1,8.06,Marr.,31.05,Agency,Promoted,No,stay
82,shruti,9876544345,Pune,B2,Operation,Female,0.06,< =1,4.11,Single,25.02,Agency,Promoted,No,leave
83,shruti,9876544345,Pune,B1,Operation,Male,0.06,< =1,3.06,Single,27.06,Agency,Non Promoted,Yes,stay
84,shruti,9876544345,Nagpur,B1,Operation,Female,0.09,< =1,0.09,Single,27.1,Direct,Non Promoted,Yes,stay
85,shruti,9876544345,Noida,B3,Sales,Male,0.06,< =1,12.07,Marr.,35.12,Direct,Promoted,No,stay
86,shruti,9876544345,Hyderabad,B1,Operation,Female,0.07,< =1,,NTBD,24.03,Direct,Promoted,Yes,stay
87,shruti,9876544345,Bangalore,B2,Operation,Male,0.06,< =1,7.06,Marr.,34.07,Direct,Promoted,Yes,stay
88,shruti,9876544345,Bangalore,B1,Operation,Male,0.07,< =1,2.07,Single,27.09,Direct,Non Promoted,Yes,stay
89,shruti,9876544345,Bangalore,B3,Operation,Female,0.06,< =1,13.1,Marr.,36.07,Direct,Non Promoted,Yes,stay
90,shruti,9876544345,Bangalore,B1,Operation,Female,0.07,< =1,1.09,Single,24.08,Direct,Non Promoted,Yes,stay
91,shruti,9876544345,Noida,B2,Operation,Male,0.06,< =1,8.01,Marr.,36.1,Direct,Promoted,No,leave
92,shruti,9876544345,Chennai,B3,Sales,Male,0.07,< =1,0.07,Single,26.07,Direct,Non Promoted,No,leave
93,shruti,9876544345,Noida,B2,Operation,Female,0.07,< =1,5.07,Marr.,29.1,Agency,Promoted,No,stay
94,shruti,9876544345,Bangalore,B3,Operation,Female,0.07,< =1,12.07,Marr.,38.09,Agency,Non Promoted,No,stay
95,shruti,9876544345,Bangalore,B2,Operation,other,0.07,< =1,10.07,Div.,41,Direct,Promoted,Yes,stay
96,Dwane,9876544345,Noida,B2,Operation,Male,0.07,< =1,5.01,Single,25.09,Direct,Promoted,No,leave
97,Dwane,9876544345,Noida,B2,Support,Male,0.06,< =1,9.07,Marr.,37.1,Agency,Promoted,No,leave
98,Dwane,9876544345,Pune,B1,Operation,Male,0.07,< =1,3.07,Single,25.07,Agency,Promoted,No,leave
99,Dwane,9876544345,Noida,B2,Operation,Male,0.07,< =1,5.01,Single,28.06,Employee Referral,Non Promoted,Yes,stay
100,Dwane,9876544345,Bangalore,B1,Operation,Male,0.07,< =1,2.06,Single,24.1,Direct,Promoted,No,leave
101,Dwane,9876544345,Chennai,B2,Operation,Male,0.07,< =1,7.07,Marr.,33.08,Direct,Promoted,Yes,stay
102,Dwane,9876544345,Chennai,B1,Operation,Male,0.08,< =1,3.02,Single,27.07,Direct,Promoted,Yes,stay
103,Dwane,9876544345,Hyderabad,B2,Operation,Male,0.08,< =1,9.08,Marr.,36.06,Direct,Promoted,No,stay
104,Dwane,9876544345,Noida,B3,Operation,Male,0.07,< =1,9.11,Marr.,35.08,Direct,Promoted,No,stay
105,Dwane,9876544345,Bangalore,B2,Operation,Male,0.07,< =1,6.08,Single,28.02,Direct,Promoted,No,leave
106,Dwane,9876544345,Noida,B2,Operation,Male,0.08,< =1,7.08,Single,30.04,Agency,Promoted,No,leave
107,Dwane,9876544345,Bangalore,B2,Operation,Male,0.07,< =1,4.1,Single,29.05,Direct,Promoted,No,leave
108,Dwane,9876544345,Bangalore,B1,Operation,Female,0.08,< =1,4.01,Single,27.07,Direct,Non Promoted,No,leave
109,Dwane,9876544345,Bangalore,B1,Operation,Male,0.08,< =1,3.1,Single,27.06,Agency,Promoted,No,leave
110,Dwane,9876544345,Chennai,B1,Operation,Female,0.07,< =1,0.08,Single,22.07,Direct,Non Promoted,Yes,stay
111,Dwane,9876544345,Noida,B1,Operation,Female,0.07,< =1,1.05,Single,25.04,Direct,Promoted,Yes,stay
112,Dwane,9876544345,Bangalore,B1,Operation,Female,0.08,< =1,2.02,Marr.,25.06,Direct,Non Promoted,Yes,stay
113,Dwane,9876544345,Noida,B1,Operation,Male,0.08,< =1,4.08,Single,27.1,Direct,Promoted,No,leave
114,Dwane,9876544345,Bangalore,B2,Operation,Male,0.08,< =1,9.01,Single,33.08,Direct,Promoted,No,leave
115,Dwane,9876544345,Bangalore,B1,Operation,Male,0.08,< =1,4.01,Single,25.06,Direct,Promoted,No,leave
116,Dwane,9876544345,Bangalore,B2,Operation,Male,0.08,< =1,6.1,Marr.,33.02,Agency,Promoted,No,stay
117,Dwane,9876544345,Chennai,B1,Operation,Female,0.08,< =1,3.01,Marr.,31.01,Direct,Promoted,Yes,stay
118,Dwane,9876544345,Pune,B1,Operation,Female,0.08,< =1,3.08,Single,26.01,Direct,Promoted,No,leave
119,Dwane,9876544345,Pune,B2,Operation,Male,0.08,< =1,6.08,Single,27.04,Direct,Promoted,No,leave
120,Dwane,9876544345,Bangalore,B1,Operation,Male,0.08,< =1,1.09,Single,24.04,Employee Referral,Promoted,Yes,stay
121,Dwane,9876544345,Chennai,B1,Operation,Male,0.08,< =1,4.08,Single,30.07,Direct,Non Promoted,No,leave
122,Dwane,9876544345,Chennai,B3,Operation,Male,0.08,< =1,15.03,Marr.,50.07,Employee Referral,Promoted,No,stay
123,Dwane,9876544345,Bangalore,B1,Operation,Female,0.08,< =1,5.05,Single,29.09,Direct,Promoted,No,leave
124,Dwane,9876544345,Noida,B3,Operation,Male,0.08,< =1,9.09,Marr.,34.04,Employee Referral,Promoted,Yes,stay
125,Dwane,9876544345,Noida,B5,Operation,Male,0.08,< =1,25.08,Marr.,40.04,Agency,Non Promoted,No,stay
126,Dwane,9876544345,Bangalore,B1,Operation,Female,0.08,< =1,4.1,Single,28.09,Direct,Promoted,No,leave
127,Dwane,9876544345,Noida,B2,Operation,Male,0.08,< =1,11.04,Single,25.04,Direct,Non Promoted,Yes,stay
128,Dwane,9876544345,Chennai,B2,Operation,Male,0.09,< =1,6.09,Marr.,30.01,Direct,Promoted,No,stay
129,Dwane,9876544345,Chennai,B2,Operation,Male,0.09,< =1,5.05,Marr.,29.02,Employee Referral,Promoted,Yes,stay
130,Dwane,9876544345,Chennai,B2,Operation,Male,0.08,< =1,10.09,Marr.,36,Direct,Non Promoted,Yes,stay
131,Dwane,9876544345,Noida,B1,Operation,Male,0.08,< =1,3.02,Single,27.03,Direct,Non Promoted,Yes,stay
132,Dwane,9876544345,Hyderabad,B1,Operation,Male,0.08,< =1,,NTBD,23.09,Direct,Non Promoted,No,leave
133,Dwane,9876544345,Chennai,B1,Operation,Male,0.08,< =1,1.08,Marr.,30.06,Direct,Non Promoted,Yes,stay
134,Dwane,9876544345,Nagpur,B1,Operation,Male,0.08,< =1,0.08,Single,24.02,Direct,Non Promoted,No,leave
135,Dwane,9876544345,Nagpur,B1,Operation,Female,0.08,< =1,0.09,Marr.,30.01,Direct,Non Promoted,No,stay
136,Dwane,9876544345,Bangalore,B1,Operation,other,0.09,< =1,5.02,Single,28.02,Direct,Non Promoted,No,leave
137,Dwane,9876544345,Hyderabad,B1,Operation,Male,0.09,< =1,5.01,Single,28.07,Direct,Non Promoted,No,leave
138,Dwane,9876544345,Noida,B2,Operation,Male,0.09,< =1,8.09,Marr.,32.09,Direct,Non Promoted,Yes,stay
139,Dwane,9876544345,Chennai,B3,Operation,Male,0.09,< =1,12.09,Marr.,35.12,Direct,Non Promoted,Yes,stay
140,Dwane,9876544345,Chennai,B2,Operation,Male,0.08,< =1,10.09,Marr.,37.07,Direct,Non Promoted,No,stay
141,Dwane,9876544345,Madurai,B2,Operation,Male,0.09,< =1,10.09,Marr.,33.07,Direct,Non Promoted,No,leave
142,Dwane,9876544345,Bangalore,B2,Operation,Male,0.09,< =1,4.03,Single,30.11,Direct,Non Promoted,Yes,stay
143,Dwane,9876544345,Chennai,B1,Operation,Male,0.09,< =1,4.03,Single,27.07,Direct,Non Promoted,Yes,stay
144,Dwane,9876544345,Hyderabad,B1,Operation,Male,0.09,< =1,5.09,Single,35.06,Agency,Non Promoted,No,leave
145,Dwane,9876544345,Pune,B1,Operation,Male,0.09,< =1,4.08,Single,30.09,Agency,Promoted,No,leave
146,Dwane,9876544345,Noida,B1,Support,Male,0.09,< =1,1.09,Marr.,28.11,Direct,Non Promoted,No,leave
147,Dwane,9876544345,Bangalore,B2,Operation,Male,1.03,> 1 & < =3,2.11,Single,30.1,Direct,Non Promoted,No,leave
148,Dwane,9876544345,Chennai,B2,Operation,Female,0.09,< =1,6.01,Marr.,30.08,Direct,Non Promoted,Yes,stay
149,Dwane,9876544345,Chennai,B2,Operation,Male,0.09,< =1,9.02,Marr.,32.03,Direct,Non Promoted,No,stay
150,Dwane,9876544345,Bangalore,B1,Operation,Male,0.09,< =1,5.05,Single,26.06,Direct,Promoted,No,leave
151,Dwane,9876544345,Chennai,B2,Operation,Male,0.09,< =1,8.11,Marr.,38.06,Direct,Non Promoted,Yes,stay
152,Dwane,9876544345,Noida,B3,Operation,Male,0.09,< =1,11.03,Marr.,36.11,Agency,Promoted,No,stay
153,Dwane,9876544345,Madurai,B1,Operation,Male,0.09,< =1,11.03,Marr.,35.04,Direct,Non Promoted,Yes,stay
154,Dwane,9876544345,Bangalore,B1,Operation,Female,0.09,< =1,3.02,Single,24.09,Direct,Non Promoted,Yes,stay
155,Dwane,9876544345,Nagpur,B1,Operation,Male,0.09,< =1,3.11,Marr.,37.07,Direct,Non Promoted,No,leave
156,Dwane,9876544345,Noida,B1,Operation,Male,0.09,< =1,2.1,Single,25.11,Direct,Non Promoted,No,leave
157,Dwane,9876544345,Bangalore,B1,Operation,Female,0.09,< =1,2,Single,24.02,Agency,Promoted,Yes,stay
158,Dwane,9876544345,Chennai,B2,Operation,Male,0.1,< =1,11,Marr.,39.11,Agency,Non Promoted,Yes,stay
159,Dwane,9876544345,Hyderabad,B2,Operation,Female,0.09,< =1,6.09,Marr.,28.05,Agency,Promoted,No,stay
160,Dwane,9876544345,Pune,B1,Operation,Male,0.1,< =1,4.04,Marr.,26.12,Direct,Promoted,Yes,stay
161,Dwane,9876544345,Pune,B2,Operation,other,0.1,< =1,8.01,Single,35.09,Agency,Non Promoted,Yes,stay
162,Dwane,9876544345,Noida,B1,Operation,Male,0.1,< =1,4.1,Single,27.11,Direct,Promoted,No,leave
163,Dwane,9876544345,Noida,B1,Operation,Male,0.11,< =1,0.11,Single,26.01,Direct,Promoted,No,leave
164,Dwane,9876544345,Chennai,B2,Operation,Male,0.09,< =1,7,Marr.,31.09,Direct,Promoted,No,stay
165,Dwane,9876544345,Noida,B2,Operation,Male,0.1,< =1,7.1,Marr.,39,Direct,Non Promoted,No,stay
166,Dwane,9876544345,Bangalore,B2,Operation,Male,0.1,< =1,5.03,Marr.,42.02,Agency,Non Promoted,No,stay
167,Dwane,9876544345,Bangalore,B1,Operation,Male,0.1,< =1,3.09,Single,25.07,Agency,Non Promoted,No,leave
168,Dwane,9876544345,Madurai,B0,Support,Female,0.1,< =1,0.1,Single,23.08,Direct,Non Promoted,Yes,stay
169,Dwane,9876544345,Lucknow,B1,Operation,Male,0.1,< =1,3.06,Single,28.05,Direct,Promoted,Yes,stay
170,Dwane,9876544345,Chennai,B2,Operation,Male,0.1,< =1,6.04,Single,28.05,Direct,Non Promoted,Yes,stay
171,Dwane,9876544345,Chennai,B2,Operation,Female,0.1,< =1,9.05,Single,36.07,Agency,Non Promoted,No,leave
172,Dwane,9876544345,Chennai,B1,Operation,Female,0.1,< =1,2.08,Single,24.12,Direct,Promoted,No,leave
173,Dwane,9876544345,Noida,B2,Operation,Male,0.1,< =1,8.1,Single,31.01,Agency,Promoted,No,leave
174,Dwane,9876544345,Chennai,B1,Operation,Male,0.11,< =1,1.11,Single,24.09,Agency,Promoted,No,leave
175,Dwane,9876544345,Noida,B1,Operation,Female,0.1,< =1,2.01,Single,24.08,Direct,Promoted,Yes,stay
176,Dwane,9876544345,Pune,B1,Operation,Male,0.1,< =1,4.1,Single,27.11,Direct,Non Promoted,Yes,stay
177,Dwane,9876544345,Noida,B2,Operation,Male,0.1,< =1,4.02,Marr.,31.04,Direct,Non Promoted,Yes,stay
178,Dwane,9876544345,Noida,B1,Operation,Male,0.1,< =1,5.04,Single,29.05,Direct,Promoted,No,leave
179,Dwane,9876544345,Chennai,B1,Operation,Male,0.1,< =1,3.1,Marr.,28,Direct,Promoted,No,stay
180,Dwane,9876544345,Bangalore,B2,Operation,Male,0.1,< =1,7.09,Single,31.08,Direct,Promoted,No,leave
181,Dwane,9876544345,Pune,B2,Operation,Male,0.1,< =1,5.03,Marr.,33.05,Direct,Promoted,Yes,stay
182,Dwane,9876544345,Noida,B2,Operation,Male,0.1,< =1,4.01,Single,28.03,Employee Referral,Non Promoted,Yes,stay
183,Dwane,9876544345,Noida,B1,Operation,Male,0.11,< =1,2.07,Single,24.11,Agency,Non Promoted,No,leave
184,Dwane,9876544345,Chennai,B2,Operation,Male,0.1,< =1,12.08,Marr.,38,Employee Referral,Non Promoted,Yes,stay
185,Dwane,9876544345,Nagpur,B1,Operation,Male,0.1,< =1,4,Single,28.11,Direct,Promoted,Yes,stay
186,Dwane,9876544345,Chennai,B1,Operation,Male,0.11,< =1,2.02,Single,23.06,Agency,Non Promoted,No,leave
187,Dwane,9876544345,Pune,B1,Operation,Female,0.11,< =1,5.07,Marr.,29.06,Agency,Non Promoted,Yes,stay
188,Dwane,9876544345,Noida,B2,Operation,Male,0.1,< =1,3,Single,26.05,Direct,Promoted,No,leave
189,Dwane,9876544345,Bangalore,B1,Operation,Male,0.11,< =1,0.11,Single,25.01,Direct,Non Promoted,Yes,stay
190,Dwane,9876544345,Bangalore,B1,Operation,Male,1,< =1,1,Single,23.03,Direct,Non Promoted,Yes,stay
191,Dwane,9876544345,Noida,B1,Operation,Female,0.11,< =1,6.09,Single,29.07,Employee Referral,Non Promoted,Yes,stay
192,Dwane,9876544345,Noida,B4,Sales,Male,0.11,< =1,11.11,Marr.,38.04,Direct,Promoted,Yes,stay
193,Dwane,9876544345,Hyderabad,B1,Operation,Female,0.11,< =1,3.11,Single,26.06,Employee Referral,Non Promoted,Yes,stay
194,Dwane,9876544345,Chennai,B1,Operation,Male,0.11,< =1,5.11,Single,34.08,Agency,Non Promoted,No,leave
195,Dwane,9876544345,Chennai,B1,Operation,Male,0.11,< =1,1.11,Single,28.04,Direct,Non Promoted,Yes,stay
196,Dwane,9876544345,Bangalore,B2,Operation,Male,0.11,< =1,7.01,Marr.,34.03,Agency,Non Promoted,No,stay
197,Dwane,9876544345,Pune,B1,Operation,other,0.11,< =1,3,Single,25.08,Direct,Non Promoted,Yes,stay
198,Dwane,9876544345,Noida,B1,Support,Female,0.1,< =1,3.06,Marr.,27.07,Direct,Non Promoted,No,leave
199,Dwane,9876544345,Noida,B3,Operation,Male,0.11,< =1,19.08,Marr.,35.1,Employee Referral,Promoted,Yes,stay
200,Dwane,9876544345,Pune,B3,Operation,Male,0.11,< =1,11.08,Marr.,34,Direct,Non Promoted,Yes,stay
201,Dwane,9876544345,Noida,B2,Support,Female,0.11,< =1,7.04,Marr.,30.02,Direct,Non Promoted,Yes,stay
202,Dwane,9876544345,Bangalore,B1,Operation,Male,0.11,< =1,3.11,Single,27.01,Direct,Promoted,Yes,stay
203,Dwane,9876544345,Bangalore,B1,Operation,Male,0.11,< =1,4.11,Single,28,Direct,Promoted,No,leave
204,Dwane,9876544345,Bangalore,B2,Operation,Male,0.11,< =1,10.11,Marr.,36.1,Agency,Promoted,No,stay
205,Dwane,9876544345,Chennai,B1,Operation,Male,0.11,< =1,3.05,Single,26.04,Direct,Non Promoted,Yes,stay
206,Dwane,9876544345,Chennai,B2,Operation,Male,0.11,< =1,6.08,Single,28.07,Direct,Non Promoted,Yes,stay
207,Dwane,9876544345,Chennai,B2,Operation,Male,0.11,< =1,5.04,Marr.,30.06,Direct,Non Promoted,No,stay
208,Dwane,9876544345,Hyderabad,B1,Operation,Male,1,< =1,1,NTBD,24.04,Direct,Non Promoted,Yes,stay
209,Dwane,9876544345,Bangalore,B1,Operation,Male,0.11,< =1,5,Single,27.07,Direct,Non Promoted,No,leave
210,Dwane,9876544345,Bangalore,B5,Operation,Female,2.06,> 1 & < =3,2.06,Single,29.1,Direct,Non Promoted,Yes,stay
211,Dwane,9876544345,Hyderabad,B2,Operation,Male,2.08,> 1 & < =3,2.08,NTBD,28.06,Direct,Promoted,No,leave
212,Dwane,9876544345,Bangalore,B1,Operation,Female,0.11,< =1,3.07,Single,26.09,Direct,Non Promoted,No,leave
213,Dwane,9876544345,Bangalore,B1,Operation,Female,0.11,< =1,4.05,Single,27.04,Direct,Non Promoted,Yes,stay
214,Dwane,9876544345,Bangalore,B1,Operation,Female,0.11,< =1,4.08,Marr.,29.04,Direct,Non Promoted,Yes,stay
215,Dwane,9876544345,Chennai,B1,Operation,Female,1,< =1,3.06,Marr.,26.11,Direct,Non Promoted,Yes,stay
216,Dwane,9876544345,Noida,B3,Operation,Male,1,< =1,9.02,Marr.,33.09,Direct,Non Promoted,Yes,stay
217,Dwane,9876544345,Pune,B1,Operation,Male,1,< =1,4,Single,25.05,Direct,Non Promoted,Yes,stay
218,Dwane,9876544345,Bangalore,B4,Operation,Male,0.11,< =1,15.11,Marr.,41.02,Employee Referral,Non Promoted,Yes,stay
219,Dwane,9876544345,Noida,B1,Support,Male,1,< =1,3.07,Single,24.03,Direct,Non Promoted,No,leave
220,Dwane,9876544345,Noida,B1,Support,Male,0.11,< =1,3.01,Single,27.11,Direct,Promoted,Yes,stay
221,Dwane,9876544345,Bangalore,B1,Operation,Male,1,< =1,6.06,Single,38.1,Agency,Non Promoted,No,leave
